,identifier.Id,identifier.fips,identifier.apn,identifier.attomId,lot.lotSize1,address.country,address.countrySubd,address.line1,address.line2,address.locality,address.matchCode,address.oneLine,address.postal1,address.postal2,address.postal3,location.accuracy,location.latitude,location.longitude,location.distance,location.geoId,location.geoIdV4.CO,location.geoIdV4.CS,location.geoIdV4.DB,location.geoIdV4.N2,location.geoIdV4.N4,location.geoIdV4.PL,location.geoIdV4.SB,location.geoIdV4.ZI,summary.propClass,summary.propSubType,summary.propType,summary.propertyType,summary.yearBuilt,summary.propLandUse,summary.propIndicator,building.size.universalSize,building.rooms.bathsTotal,building.rooms.beds,vintage.lastModified,vintage.pubDate,avm.eventDate,avm.amount.scr,avm.amount.value,avm.amount.high,avm.amount.low,avm.amount.valueRange,avm.calculations.perSizeUnit,avm.calculations.ratioTaxAmt,avm.calculations.ratioTaxValue,avm.calculations.rangePctOfValue,homeEquity.LTV,homeEquity.estimatedAvailableEquity,homeEquity.estimatedLendableEquity,homeEquity.firstAmortizedLoanAmount,homeEquity.secondAmortizedLoanAmount,homeEquity.thirdAmortizedLoanAmount,homeEquity.totalEstimatedLoanBalance,homeEquity.recordLastUpdated,location.geoIdV4.N1
0,185362954,53033,199970-0045,185362954,0.1816345,US,WA,18810 DENSMORE AVE N,"SHORELINE, WA 98133",SHORELINE,ExaStr,"18810 DENSMORE AVE N, SHORELINE, WA 98133",98133,4217,C036,Rooftop,47.765801,-122.338789,0.0,"CO53033, CS5392928, DB5307920, ND0001689123, PL5363960, RS0000382544, SB0000128595, SB0000128598, SB0000128606, ZI98133",5ee7d0cd1877f3a877c2aebc11f8c2fb,4970292b3b10ee79d01df26bfa1db532,aaae0a2014f786ec8b4f30a615419d84,ae3b10d58c9951d3685696c5c2b482a6,860705d8bb4268a3f7e669bf73903a62,80a7d570de7f181d8918a0c422abfdb4,"e65a6b5776ed2b42dd80661a50818581,30af5cf1942710581d34ca424dc7f684",c7cd7868d4321b419658454605c93354,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1955,SFR,10,1340,2.0,3.0,2023-04-07,2023-04-07,2023-08-22,99,875810,884568,867051,8758.0,653.0,107.01,1.0,2.0,77,0,0,658249,0,0,658249,2023-06-16,
1,53489785,53033,186060-0210,53489785,0.0717401,US,WA,709 W BLAINE ST,"SEATTLE, WA 98119",SEATTLE,ExaStr,"709 W BLAINE ST, SEATTLE, WA 98119",98119,2929,C082,Rooftop,47.634541,-122.366885,0.0,"CO53033, CS5392928, DB5307710, ND0000335587, ND0000499230, PL5363000, SB0000128513, SB0000128541, SB0000154429, ZI98119",5ee7d0cd1877f3a877c2aebc11f8c2fb,4970292b3b10ee79d01df26bfa1db532,98873a44ab19bc44db1ac29ee8bea1aa,64b9394c2266c5befb43860cf654bf4c,,2334119c0d04010c5be64976dea25ee4,"8dd20f91b35f39224be98bacc86de963,95d6613ba3f92af05ee852168a6fa7c6,34aaeef626fda5aad05b61aaaf2cb650",b3e38700211dcf1b4a464464c980b572,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1926,SFR,10,1890,2.0,2.0,2023-04-07,2023-04-07,2023-08-22,98,1690105,1723907,1656302,33802.0,894.0,138.31,1.0,4.0,21,0,0,197840,0,0,197840,2023-06-16,9910825c7ffe7fcfd73cabc9f3d37492
2,10059309,53033,546790-0220,10059309,0.2944215,US,WA,26214 143RD AVE SE,"KENT, WA 98042",KENT,ExaStr,"26214 143RD AVE SE, KENT, WA 98042",98042,8157,C077,Rooftop,47.367146,-122.150460,0.0,"CO53033, CS5393392, DB5303960, ND0004855586, PL5335415, RS0000260683, SB0000127961, SB0000127975, SB0000127976, ZI98042",5ee7d0cd1877f3a877c2aebc11f8c2fb,5973965fd8331f1c7e397448223eb675,d18e254f3d9e8acaf1e902e0e18caf9d,45dbd9764c4de560b8a841cc45991033,1d209e8bea7c2938c66a5bcd047ca0bc,42b684da7d7308db262c87179b86cc38,"7d12ebf8a614a19a1da82eebdf08d9d7,03945a8ed8ea4cb678c990f73967cea8,1e94ed625b90415c2404ea1ff7c0005d",ae79926945d8daf28f516d66d14cee86,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1966,SFR,10,1710,2.0,3.0,2023-04-07,2023-04-07,2023-08-22,99,606833,612901,600764,6068.0,354.0,104.83,1.0,2.0,56,0,0,238442,49467,0,287909,2023-06-16,
3,185457419,53033,403890-0300,185457419,0.1944444,US,WA,857 170TH PL NE,"BELLEVUE, WA 98008",BELLEVUE,ExaStr,"857 170TH PL NE, BELLEVUE, WA 98008",98008,3751,C061,Rooftop,47.618710,-122.113830,0.0,"CO53033, CS5392931, DB5300390, ND0000334702, PL5305210, SB0000127405, SB0000127406, SB0000127414, ZI98008",5ee7d0cd1877f3a877c2aebc11f8c2fb,50c4b457864cd4b4e996d5dc01b4fc85,1fa0fc62fd122b1f4ca1b52684a818f3,51c685952edeb735eedff608e1a8fb82,,335750a26cbaf7ab8f0f82d5d67d925a,"28a08be077e03cacdbc5f0e7a4039db1,584f4ae9d1223f8f6ad012625f5d2d73,52b018f4654ebc90c12fe78f3b68aba4",4ce363e7bb681df460e233403d2c68ea,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1962,SFR,10,2160,3.0,4.0,2023-04-07,2023-04-07,2023-08-22,97,1438221,1481367,1395074,43146.0,665.0,138.32,0.0,6.0,32,0,0,477973,0,0,477973,2023-06-16,
4,143056643,53033,719730-0105,143056643,0.2410468,US,WA,9105 170TH AVE NE,"REDMOND, WA 98052",REDMOND,ExaStr,"9105 170TH AVE NE, REDMOND, WA 98052",98052,3791,C006,Rooftop,47.683042,-122.113947,0.0,"CO53033, CS5392931, DB5304230, ND0000335777, PL5357535, SB0000128043, SB0000128044, SB0000128045, ZI98052",5ee7d0cd1877f3a877c2aebc11f8c2fb,50c4b457864cd4b4e996d5dc01b4fc85,ddf8a96e270c8fda3601d9d564f2bc16,abf62cfcb60042b89102018598798bf1,,f06234761077deda403ed776cfdff5a9,181e5a2af2defcef2b74447c07d970ed,47f00eae83fe3ec4009cc95b52113a76,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1976,SFR,10,1940,3.0,4.0,2023-04-07,2023-04-07,2023-08-22,98,1268774,1294149,1243398,25375.0,654.0,144.23,1.0,4.0,36,0,0,359469,0,0,359469,2023-06-16,
5,8407510,53033,510040-1390,8407510,0.1464646,US,WA,522 NE 88TH ST,"SEATTLE, WA 98115",SEATTLE,ExaStr,"522 NE 88TH ST, SEATTLE, WA 98115",98115,2937,C095,Rooftop,47.692470,-122.322034,0.0,"CO53033, CS5392928, DB5307710, ND0000335205, ND0004786190, PL5363000, SB0000128545, SB0000128549, SB0000154365, ZI98115",5ee7d0cd1877f3a877c2aebc11f8c2fb,4970292b3b10ee79d01df26bfa1db532,98873a44ab19bc44db1ac29ee8bea1aa,bccb177600b2d62f2607c6c7563f561e,,2334119c0d04010c5be64976dea25ee4,"218d8d1a0412a1b1785a4774321eb983,745beab65cc829e91a91e1fac02e6730,6772c33ed6aa0f9397488b1b801458ea",97f24138c1b1b2aa50120af8c83a6fdf,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1935,SFR,10,1990,3.0,4.0,2023-04-07,2023-04-07,2023-08-22,99,1064929,1075578,1054279,10649.0,535.0,115.28,1.0,2.0,41,0,0,341161,0,0,341161,2023-06-16,2af5946f566ed7c106ec4257d8a0e6bb
6,185547032,53033,752521-0220,185547032,0.0631772,US,WA,2616 174TH AVE NE,"REDMOND, WA 98052",REDMOND,ExaStr,"2616 174TH AVE NE, REDMOND, WA 98052",98052,6221,C018,Rooftop,47.634381,-122.107390,0.0,"CO53033, CS5392931, DB5304230, ND0000354037, PL5357535, RS0000355386, SB0000128025, SB0000128039, SB0000128048, ZI98052",5ee7d0cd1877f3a877c2aebc11f8c2fb,50c4b457864cd4b4e996d5dc01b4fc85,ddf8a96e270c8fda3601d9d564f2bc16,763a91b8e4589ae58b6ded75246571f7,c82448be95f3c3245617ef0459c89ba4,f06234761077deda403ed776cfdff5a9,"1b922785ab1babe8e6370d77414b0ffa,35d38cf8a1594d94db9a874424107a54,2f96e4fdc8f7d9f3f9afce3a295e67b0",47f00eae83fe3ec4009cc95b52113a76,Single Family Residence / Townhouse,Residential,TOWNHOUSE/ROWHOUSE,TOWNHOUSE,1978,TOWNHOUSE/ROWHOUSE,10,1330,2.0,2.0,2023-04-07,2023-04-07,2023-08-22,98,927031,945571,908490,18540.0,697.0,149.55,1.0,4.0,34,0,0,250404,0,0,250404,2023-06-16,
7,185424674,53033,259172-0070,185424674,0.823416,US,WA,23762 SE 253RD PL,"MAPLE VALLEY, WA 98038",MAPLE VALLEY,ExaStr,"23762 SE 253RD PL, MAPLE VALLEY, WA 98038",98038,8326,R007,Rooftop,47.375198,-122.021969,0.0,"CO53033, CS5393392, DB5308760, ND0004856691, PL5343150, RS0004801233, SB0000128794, SB0000128800, SB0000134662, ZI98038",5ee7d0cd1877f3a877c2aebc11f8c2fb,5973965fd8331f1c7e397448223eb675,8dde4cd938a714a2a7a39729931e2949,05851fd9d932bb2b8d6854de0c3ab9c5,b52c786eb37cee2fefe89a47b6e7c829,2550bd3c5dc009ddecdb48a9b29e67a2,"d037cde3e41a5c06e2899705d9b184a0,48055518494b3443a218836d5be2e9c0,35e606eabbc13a74716a8465397cfdfd",7c6898fea3fabf935db12c6941bd9634,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1989,SFR,10,2710,3.0,4.0,2023-04-07,2023-04-07,2023-08-22,99,1079116,1089907,1068324,10791.0,398.0,109.63,1.0,2.0,49,0,0,523930,0,0,523930,2023-06-16,
8,149622204,53033,132308-9054,149622204,1.302,US,WA,46625 SE 129TH ST,"NORTH BEND, WA 98045",NORTH BEND,ExaStr,"46625 SE 129TH ST, NORTH BEND, WA 98045",98045,,,Rooftop,47.481708,-121.717664,0.0,"CO53033, CS5393078, DB5308040, PL5358768, SB0000128624, SB0000128625, SB0000128630, ZI98045",5ee7d0cd1877f3a877c2aebc11f8c2fb,05f8dff05ce3663d66b7b364178c885e,25e2d4e7442d80263065fece7ac5d968,,,faa4427381acc132444f1224d8cd4bc1,"dc942f638640b6ed92464c74ff62b618,53917447e732e425a35a8c7c1a29745d,c384d8450f649d986c2a60014cc2d423",17b9dfe38d8a22064da7397e1c18b231,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1955,SFR,10,800,,2.0,2023-04-07,2023-04-07,2023-08-22,98,508613,518785,498440,10172.0,635.0,99.51,1.0,4.0,0,0,0,0,0,0,0,2021-10-27,
9,185511342,53033,612760-0110,185511342,0.1423324,US,WA,6811 55TH AVE NE,"SEATTLE, WA 98115",SEATTLE,ExaStr,"6811 55TH AVE NE, SEATTLE, WA 98115",98115,7826,C062,Rooftop,47.677997,-122.269310,0.0,"CO53033, CS5392928, DB5307710, ND0000335565, ND0004780733, PL5363000, SB0000128518, SB0000128551, SB0000128559, ZI98115",5ee7d0cd1877f3a877c2aebc11f8c2fb,4970292b3b10ee79d01df26bfa1db532,98873a44ab19bc44db1ac29ee8bea1aa,0ce0de3de832027ec383ebb820fc33aa,,2334119c0d04010c5be64976dea25ee4,"6ce3133430b4f45cb76598f312adf9f6,50ebf28cf26ae10cfe426d06d76e9abd,5ed9a5f96b9e9f7f6df6af8fd50cdfab",97f24138c1b1b2aa50120af8c83a6fdf,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1945,SFR,10,1520,2.0,4.0,2023-04-07,2023-04-07,2023-08-22,98,1097246,1119190,1075301,21944.0,721.0,115.14,1.0,4.0,14,0,0,138250,0,0,138250,2023-06-16,84a24f74ac41f53a9439af588bef7ab5
